Starting the logger (C:\Users\philipoe\AppData\Local\Android\Sdk/platform-tools/adb logcat *:S ReactNative:V ReactNativeJS:V)...
--------- beginning of main
--------- beginning of system
10-23 18:06:49.062  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556613.191790186;this.cur_value_ground_move:-808.3152
10-23 18:06:49.162  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556616.6613824711;this.cur_value_ground_move:-793.2330000000002
10-23 18:06:49.285  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556620.0662362919;this.cur_value_ground_move:-779.5115999999998
10-23 18:06:49.408  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556623.4121927128;this.cur_value_ground_move:-769.1922000000004
10-23 18:06:49.540  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556626.7138543949;this.cur_value_ground_move:-755.0171999999993
10-23 18:06:49.662  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556629.9546716555;this.cur_value_ground_move:-736.5330000000004
10-23 18:06:49.786  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556633.1161477908;this.cur_value_ground_move:-723.0383999999995
10-23 18:06:49.919  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556636.2197000369;this.cur_value_ground_move:-712.2653999999993
10-23 18:06:50.009  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556639.2770105228;this.cur_value_ground_move:-697.2965999999997
10-23 18:06:50.127  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556642.2700692996;this.cur_value_ground_move:-684.1422000000002
10-23 18:06:50.265  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556645.2066644534;this.cur_value_ground_move:-668.3796000000002
10-23 18:06:50.411  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556648.0756006106;this.cur_value_ground_move:-658.7406000000001
10-23 18:06:50.496  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556650.9031625612;this.cur_value_ground_move:-643.0914000000002
10-23 18:06:50.603  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556653.6635522707;this.cur_value_ground_move:-629.8235999999997
10-23 18:06:50.736  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556656.3669916018;this.cur_value_ground_move:-614.8548000000001
10-23 18:06:50.864  2970  2997 I ReactNativeJS: val:0.9957076245935296;this.compensDelta:556659.0061792239;this.cur_value_ground_move:-600.3396000000002
