Starting the logger (C:\Users\philipoe\AppData\Local\Android\Sdk/platform-tools/adb logcat *:S ReactNative:V ReactNativeJS:V)...
--------- beginning of system
--------- beginning of main
10-23 17:24:04.049  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:758.6459999999997
10-23 17:24:04.166  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:773.6147999999994
10-23 17:24:04.281  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:786.7691999999997
10-23 17:24:04.388  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:797.7690000000002
10-23 17:24:04.505  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:812.2842
10-23 17:24:04.621  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:825.2118
10-23 17:24:04.733  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:834.5106000000005
10-23 17:24:04.831  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:849.1391999999996
10-23 17:24:04.935  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:861.0462000000007
10-23 17:24:05.050  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:872.2727999999997
10-23 17:24:05.151  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:885.4272000000001
10-23 17:24:05.275  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:899.2620000000006
10-23 17:24:05.368  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:910.1484
10-23 17:24:05.496  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:923.1894000000002
10-23 17:24:05.605  3169  3199 I ReactNativeJS: val0.9129850734058091;this.compensDelta:0;this.cur_value_ground_move:936.6840000000002
